name,city,price,model,kolimeter,feul_type,engine,transmission
Honda Civic  2021 1.5 RS Turbo for Sale,Abbottabad,PKR 67 lacs,2021,"88,000 km",Petrol,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,Peshawar,PKR 61.5 lacs,2019,"68,425 km",Petrol,1800 cc,Automatic
Toyota Hilux  2012 D-4D Automatic for Sale,Peshawar,PKR 65.5 lacs,2012,"132,000 km",Diesel,3000 cc,Automatic
Toyota Prius Alpha  2018 S Touring Selection GR Sport for Sale,Peshawar,PKR 98.5 lacs,2018,"35,000 km",Hybrid,1800 cc,Automatic
Toyota Corolla Fielder  2017 Hybrid G  WB  for Sale,Peshawar,PKR 62 lacs,2017,"165,044 km",Hybrid,1500 cc,Automatic
Suzuki Alto  2006 VS for Sale,Peshawar,PKR 18.3 lacs,2006,"96,846 km",Petrol,660 cc,Automatic
Daihatsu Mira  2022 L for Sale,Peshawar,PKR 34.7 lacs,2022,"29,573 km",Petrol,660 cc,Automatic
Suzuki Cultus  2020 VXL for Sale,Peshawar,PKR 29.5 lacs,2020,"169,661 km",Petrol,1000 cc,Manual
Toyota Yaris Sedan  2021 ATIV X CVT 1.5 for Sale,Peshawar,PKR 47.5 lacs,2021,"67,156 km",Petrol,1500 cc,Automatic
Toyota Corolla  2015 Altis Automatic 1.6 for Sale,Peshawar,PKR 38 lacs,2015,"92,682 km",Petrol,1600 cc,Automatic
Suzuki Hustler  2023 Hybrid G for Sale,Peshawar,PKR 37.5 lacs,2023,"14,904 km",Hybrid,660 cc,Automatic
Mazda Flair  2017 Hybrid XS for Sale,Peshawar,PKR 32.5 lacs,2017,"110,642 km",Hybrid,660 cc,Automatic
Toyota Corolla Axio  2007 X 1.5 for Sale,Peshawar,PKR 35 lacs,2007,"173,946 km",Petrol,1500 cc,Automatic
Toyota Hilux  2023 Revo V Automatic 2.8 for Sale,Dera ismail khan,PKR 1.35 crore,2023,"35,000 km",Diesel,2800 cc,Automatic
